topic_id,frex_terms,topic_proportion,effective_documents,c1_country,c1_score,c2_country,c2_score,c3_country,c3_score
1,"deputi, synthesi, definit, america, intergovernment",0.07163306067743413,13,Brazil,0.5411858149101376,Argentina,0.2535116854566932,Uruguay,0.2487262557398141
2,"specialist, alert, technolog, analyz, ration",0.07799971836929082,17,Moldova,0.6357530192200785,Israel,0.21284307799128988,Argentina,0.20047764774812232
3,"equiti, sdg, pillar, leadership, agenda",0.19528160135857317,37,Armenia,0.5081212027223359,Papua New Guinea,0.4186086637096834,Philippines,0.4136447205079239
4,"malnutrit, death, mortal, hygien, elderli",0.1253795558578844,32,Sudan,0.4727180716419753,Nepal,0.3012556613035932,Bangladesh,0.28138300314558246
5,"meteorologi, surveil, induc, smart, breed",0.10645056736527506,19,Bhutan,0.6865236152227887,Sri Lanka,0.6318606021902364,Mongolia,0.3554953148950728
6,"director, gef, ment, minist, tion",0.1459792827397011,30,Albania,0.5717769719208196,Bosnia & Herzegovina,0.4350261479976494,Congo - Kinshasa,0.42039854683904215
7,"divis, reef, coral, sid, surg",0.13255230561489956,24,Kiribati,0.6341183981753112,St. Lucia,0.5187141735546162,Antigua & Barbuda,0.43046876723613814
8,"rcp, maximum, centuri, warmer, upper",0.1447239080169418,37,Serbia,0.5675496480678213,Palestinian Territories,0.5264511264455242,Kuwait,0.32348159869415627
